"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"1",3,2,2,2,2,16,11,5,10,13,3,29,27,32,9,7,10,19,37
"2",1,0,1,0,0,2,0,1,1,1,1,1,1,2,1,2,1,2,3
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
"6",0,3,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
